,"STP
SDP","SP
Kok.","NSP
Ed.
KP
LKP",RKP,"SML
ML
KePu
Kesk.",SKrTL,"SSTP
STPV
SKDL
Vas.","SPP
PMP",SV,IKL,KP,TPSL,VL,"SPP
SMP
PS","SKL
KD",SKYP,"SPK
PKP
POP",Vihreät,Nuors.,"Vihreät
EPV
KiPu",muut
16.3.1907,80,59,26,24,9,2,,,,,,,,,,,,,,,
2.7.1908,83,55,26,24,10,2,,,,,,,,,,,,,,,
3.5.1909,84,48,29,25,13,1,,,,,,,,,,,,,,,
2.2.1910,86,42,28,26,17,1,,,,,,,,,,,,,,,
3.1.1911,86,43,28,26,16,1,,,,,,,,,,,,,,,
2.8.1913,90,38,29,25,18,–,,,,,,,,,,,,,,,
3.7.1916,103,33,23,21,19,1,,,,,,,,,,,,,,,
2.10.1917,92,32,24,21,26,–,,,,,,,,,,,,,,,5
3.3.1919,80,28,26,22,42,2,,,,,,,,,,,,,,,
3.7.1922,53,35,15,25,45,,27,,,,,,,,,,,,,,
2.4.1924,60,38,17,23,44,,18,,,,,,,,,,,,,,
2.7.1927,60,34,10,24,52,,20,,,,,,,,,,,,,,
2.7.1929,59,28,7,23,60,,23,–,,,,,,,,,,,,,
2.10.1930,66,42,11,20,59,,,1,1,,,,,,,,,,,,
3.4.1933,78,18,11,21,53,,,3,,14,2,,,,,,,,,,
3.4.1936,83,20,7,21,53,,,1,,14,1,,,,,,,,,,
2.7.1939,85,25,6,18,56,,,2,–,8,,,,,,,,,,,
18.3.1945,50,28,9,14,49,,49,–,1,,,,,,,,,,,,
2.7.1948,54,33,5,13,56,,38,–,,,,,,,,,,,,,1
3.7.1951,53,28,10,14,51,,43,–,,,,,–,,,,,,,,1
8.3.1954,54,24,13,12,53,,43,–,,,,,–,,,,,,,,1
7.7.1958,48,29,8,13,48,,50,,,,,3,–,,–,,,,,,1
5.2.1962,38,32,13,13,53,,47,,,,,2,1,–,,,,,,,1
21.3.1966,55,26,9,11,49,,41,,,,,7,,1,–,,,,,,1
16.3.1970,52,37,8,11,36,,36,,,,,–,,18,1,,,,,,1
3.1.1972,55,34,7,9,35,,37,,,,,–,,18,4,,,,,,1
22.9.1975,54,35,9,9,39,,40,,,,,,,2,9,1,1,,,,1
19.3.1979,52,47,4,9,36,,35,,,,,,,7,9,–,–,,,,1
21.3.1983,57,44,,10,38,,27,,,,,,,17,3,–,1,2,,,1
16.3.1987,56,53,–,12,40,,16,,,,,,,9,5,,–,4,,,5
17.3.1991,48,40,1,11,55,,19,,,,,,,7,8,,–,10,,–,1
19.3.1995,63,39,–,11,44,,22,,,,,,,1,7,,,9,2,1,1
21.3.1999,51,46,–,11,48,,20,,,,,,,1,10,,,11,–,–,2
16.3.2003,53,40,–,8,55,,19,,,,,,,3,7,,,14,,–,1
18.3.2007,45,50,–,9,51,,17,,,,,,,5,7,,,15,,,1
17.4.2011,42,44,,9,35,,14,,,,,,,39,6,,,10,,,1
19.4.2015,34,37,,9,49,,12,,,,,,,38,5,,,15,,,1
14.4.2019,40,38,,9,31,,16,,,,,,,39,5,,,20,,,2
2.4.2023,43,48,,9,23,,11,,,,,,,46,5,,,13,,,2
,SDP,Kok.,,RKP,Kesk.,,Vas.,,,,,,,PS,KD,,,Vihreät,,,Muut