Title,Score
Presidentti,75
Pääministeri,75
Valtionvarainministeri,25
Ulkoasiainministeri,15
Puolustusministeri,15
Sotaministeri,15
Sota-asiain päällikkö,15
Sisäasiainministeri,10
Sisäasiaintoimituskunnan päällikkö,10
Oikeustoimikunnan päällikkö,10
Oikeusministeri,10
Työ- ja oikeusministeri,10
Kirkollis- ja opetustoimikunnan päällikkö,10
Opetusministeri,10
Opetus- ja viestintäministeri,10
Opetus- ja kulttuuriministeri,10
Maataloustoimikunnan päällikkö,10
Maatalousministeri,10
Maa- ja metsätalousministeri,10
Liikenneministeri,10
Liikenne- ja viestintäministeri,10
Kunta- ja liikenneministeri,10
Työvoimaministeri,10
Työministeri,10
Oikeus- ja työministeri,10
Kauppa- ja teollisuustoimituskunnan päällikkö,10
Kauppa- ja teollisuusministeri,10
Elinkeinoministeri,10
Sosiaalitoimituskunnan päällikkö,10
Sosiaaliministeri,10
Sosiaali- ja terveysministeri,10
Apulaissosiaaliministeri,10
Ministeri sosiaaliministeriössä,10
Ministeri sosiaali- ja terveysministeriössä,10
Peruspalveluministeri,10
Perhe- ja peruspalveluministeri,10
Sosiaaliturvaministeri,10
Ympäristöministeri,10
Maatalous- ja ympäristöministeri,10
"Asunto-, energia- ja ympäristöministeri",10
Ympäristö- ja ilmastoministeri,10
Ministeri ympäristöministeriössä,10
Asuntoministeri,10
Asunto- ja viestintäministeri,10
Apulaisulkoasiainministeri,10
Ministeri ulkoasiainministeriössä,10
Ulkomaankauppaministeri,10
Ulkomaankauppa- ja kehitysministeri,10
Ulkomaankauppa- ja eurooppaministeri,10
Kehitysyhteistyö- ja ulkomaankauppaministeri,10
Ulkomaankauppa- ja kehitysministeri,10
Pohjoismaisen yhteistyön ja tasa-arvon ministeri,10
Sisäasiaintoimituskunnan apulaispäällikkö,10
Apulaissisäasiainministeri,10
Ministeri sisäasiainministeriössä,10
Alue- ja kuntaministeri,10
Maahanmuutto- ja eurooppaministeri,10
Apulaispuolustusministeri,10
Apulaisvaltiovarainministeri,10
Ministeri valtiovarainministeriössä,10
Toinen valtiovarainministeri,10
Hallinto- ja kuntaministeri,10
Liikenne- ja kuntaministeri,10
Kunta- ja uudistusministeri,10
Kunta- ja liikenneministeri,10
Kunta- ja omistajaohjausministeri,10
Kuntaministeri,10
Kunta- ja alueministeri,10
Apulaisopetusministeri,10
Ministeri opetusministeriössä,10
Kulttuuriministeri,10
Kulttuuri- ja urheiluministeri,10
Kulttuuri- ja asuntoministeri,10
"Eurooppa-, kulttuuri- ja urheiluministeri",10
Tiede- ja kulttuuriministeri,10
"Liikunta-, urheilu- ja nuorisoministeri",10
Maataloustoimikunnan apulaispäällikkö,10
Apulaismaatalousministeri,10
Ministeri maatalousministeriössä,10
Viestintäministeri,10
Kansanedustaja,1